2012-07-12 10:43:58:669		Notify: 	TransType: 	

2012-07-12 10:53:40:467		Notify: 	TransType: 	

2012-07-12 10:55:07:372		Notify: 	TransType: 	

2012-07-12 10:58:48:127		Notify: 	TransType: 	

2012-07-12 10:59:57:195		Notify: 	TransType: 	

2012-07-12 11:18:55:481		Notify: 	TransType: 	

2012-07-12 11:20:21:493		Notify: 	TransType: 	

2012-07-12 11:23:34:422		Notify: 	TransType: 	

2012-07-12 11:25:43:723		Notify: 	TransType: 	

2012-07-12 17:17:11:324		Notify: 	TransType: 	

2012-07-12 17:23:29:890		Notify: 	TransType: 	

2012-07-12 17:26:39:199		Notify: 	TransType: 	

